#chainfmt afss
#             p0             p1             p2             p3             p4             p5             p6             p7
        1.18272    4.34991e-11      0.0271987      0.0806641       0.110816        7.21111        5.27448        1.64064
        1.18882    4.38693e-11      0.0157854      0.0794172       0.113713        7.00953        5.08285        2.07328
        1.19501    4.37092e-11      0.0201986      0.0720906       0.128085        6.98048        5.97642        2.32013
        1.19039    4.42522e-11      0.0245796       0.080547       0.124612        7.04417        6.51406        2.63377
        1.17265     4.3948e-11      0.0307737       0.076658       0.123305        6.91767        6.40923        2.49057
        1.18867    4.34688e-11      0.0161514      0.0775366       0.124818        6.63772        4.86329        2.87784
        1.18202    4.34921e-11      0.0275121      0.0750288         0.1116        4.75088         1.6715        5.76591
        1.18086    4.38879e-11      0.0137721      0.0800013       0.115242        4.76843        1.56932        4.95837
        1.19684    4.41341e-11      0.0365725      0.0798111       0.108753        5.35011        2.02857        4.50464
        1.18657    4.39398e-11      0.0612332      0.0691882       0.103984        6.37793        4.91889        2.47116
        1.18766     4.3692e-11      0.0612577      0.0780902      0.0888083         6.7377        5.61346        2.59752
        1.18923    4.39908e-11      0.0549628      0.0761691      0.0985494        7.18785        6.67015        2.58366
        1.18822    4.39782e-11      0.0120918      0.0899802       0.112316        7.38028        5.30298        3.07135
        1.19045    4.39073e-11      0.0192572      0.0817785       0.121558        7.19338         5.0134        2.92736
        1.18699    4.38863e-11      0.0106867      0.0799073        0.11798        6.76268        4.04462        2.22662
        1.18502    4.38868e-11      0.0130683        0.07907       0.119681        6.78511        3.92907        2.62115
        1.18651     4.3607e-11      0.0068084      0.0744825       0.121888        6.44018        2.13438        1.25024
        1.18054    4.37166e-11      0.0292975      0.0725079       0.127124        7.18288        5.31876        2.35886
        1.18606    4.39984e-11      0.0376028       0.076979       0.103791        7.37829        6.00686        2.20006
        1.18941    4.37598e-11      0.0162201      0.0813033       0.122475        7.23634        6.18207        2.67317
        1.16075    4.36542e-11      0.0234309      0.0840512       0.114396        7.33124        7.05859        3.04429
        1.19392    4.39733e-11      0.0242509       0.088493       0.114351        8.30688        7.50417        2.04881
        1.16427    4.36786e-11       0.034747      0.0853197       0.100157        7.90483        9.24434        2.32056
         1.1877    4.36959e-11        0.04399      0.0756836      0.0950745         7.7697        8.24449        2.07492
        1.19212    4.41796e-11      0.0377203      0.0770336      0.0953141         7.9669        7.99089         1.1302
        1.18605    4.40037e-11      0.0400059      0.0749932      0.0973727         7.8009        8.00738        1.87793
        1.19321    4.36866e-11      0.0024077      0.0806413       0.110543        7.38876        7.16508        1.74841
        1.19367     4.4077e-11       0.010613      0.0881643       0.110666        7.36185         6.9703        2.62778
        1.17908    4.38612e-11     0.00795123      0.0928491       0.115022        7.59116        7.46612        2.74926
        1.18327    4.39615e-11     0.00188237      0.0794675       0.118204        7.49231        7.01495        2.06818
        1.18925    4.39265e-11     0.00252366      0.0834789       0.119861         7.8575         7.0729        2.13112
        1.17907    4.33908e-11       0.019535      0.0755602       0.109642        7.68477        6.61238        1.77294
         1.1775    4.36701e-11     0.00931053      0.0778011       0.113903        7.75275        6.27021        1.59658
        1.17884    4.33107e-11      0.0164141      0.0805051       0.116517        7.96329        6.99487        1.64685
        1.17884    4.35558e-11      0.0126491      0.0861329       0.113433        8.35008        8.70012        2.14793
        1.18064    4.38208e-11     0.00663185      0.0776688       0.113312        8.08927        8.10738        1.75156
        1.18076      4.386e-11    0.000388216      0.0798035       0.102163        7.97458        7.52742         1.5564
        1.19976    4.37364e-11      0.0202953      0.0684235       0.104939        7.86181        5.93308       0.482007
         1.1854    4.37825e-11      0.0546086      0.0694751      0.0873075         7.9522        6.62916       0.798885
        1.19804    4.37415e-11      0.0191611      0.0689899       0.111167        8.06815        6.92312        1.01713
        1.19372    4.38664e-11      0.0208675      0.0709601       0.112815        8.10089        7.64604        1.47365
        1.18537    4.38379e-11     0.00789268      0.0767367       0.105082        8.14767        7.94299       0.828592
        1.18781    4.37596e-11     0.00560723      0.0727468       0.106685        8.51036        7.69829        1.09782
        1.18555     4.3725e-11     0.00579628      0.0803832       0.103062        7.72559        6.45756        1.50926
         1.1844    4.40479e-11      0.0194442      0.0817742       0.105621        8.14525        7.34113        1.60124
        1.18827    4.37879e-11     0.00640679      0.0795027       0.111208        8.42956        6.32909        1.37734
        1.18622    4.38865e-11     0.00901598      0.0772558       0.106625        7.90034        6.61588        1.36053
        1.18748    4.37364e-11     0.00290235      0.0811398       0.106316        7.72049        5.73893        1.48697
        1.20124     4.4124e-11     0.00636067       0.075309       0.120553         7.2457        5.60499        1.96698
        1.19833    4.41389e-11      0.0108078      0.0721656       0.119905        7.04183        4.95708        1.67206
        1.18704    4.39875e-11     0.00665474      0.0805241       0.118736        7.59191        5.00324        2.34709
        1.18144    4.41182e-11      0.0142652      0.0750071       0.115653        6.73964        3.01126        1.85311
        1.18154    4.33945e-11      0.0282217      0.0739042       0.115751        5.92086        2.26566        2.42104
         1.1803    4.36476e-11      0.0248904      0.0723837       0.133753        5.21554        2.34317        2.79581
        1.17055    4.35835e-11     0.00122661      0.0764079       0.128684        5.99184        2.67349        3.86705
        1.17614    4.37612e-11      0.0089388      0.0801321       0.121366        5.41374        1.66706         4.7105
        1.19103    4.39642e-11      0.0303866      0.0746289       0.115222        4.83909        1.84523        4.34527
        1.19271    4.40619e-11     0.00911258      0.0799817         0.1228        5.34033        2.57785        6.48845
        1.18757     4.3734e-11      0.0111715      0.0791552       0.130647        5.40026        2.65818        6.60574
        1.18822    4.40252e-11     0.00184472      0.0823539       0.130638        6.03975        3.87139        5.68662
        1.17973    4.39208e-11      0.0254425      0.0795685       0.126591        5.93427        3.63049        4.60626
        1.18519    4.42007e-11      0.0130407      0.0837467       0.129599        5.89463        3.27252        4.05768
        1.19188    4.37245e-11      0.0163468      0.0806118       0.131215        5.18154        2.33078         5.5861
        1.18843      4.396e-11      0.0190002      0.0778849       0.121837        5.76528        2.93845        4.67609
        1.18916    4.37852e-11      0.0285856      0.0829712       0.122438         5.4948        3.02029        5.01313
        1.19576    4.39313e-11       0.069768      0.0658154       0.102584        4.23507         3.4355        5.74084
         1.1935    4.37555e-11      0.0655529      0.0692486       0.094426        6.27445        5.66729        3.83147
        1.19577    4.40954e-11      0.0636684      0.0688991      0.0995831        6.00143        6.27683         3.9307
         1.1919    4.38629e-11      0.0717545      0.0743621      0.0908759        5.82936        9.10454        6.39771
        1.19087    4.37893e-11      0.0782272      0.0659003      0.0989488        4.80289        7.15925        8.82925
        1.18819    4.34525e-11      0.0776085      0.0639612       0.100881        4.51282        5.49362        5.92136
         1.1942    4.39964e-11      0.0841767      0.0564624        0.10287        4.23818        5.46939        5.33718
        1.20061    4.35881e-11      0.0649503      0.0620284      0.0930484        3.79536        2.26298        9.05777
         1.1868    4.35976e-11      0.0422123      0.0824021      0.0961805        5.12207        1.64099        7.75546
        1.17286    4.34356e-11      0.0368618      0.0767298       0.118942        4.75741        2.56411        6.33636
        1.18744    4.40014e-11      0.0269633      0.0758217       0.123284        5.36257        2.22612        5.74416
        1.18136    4.36928e-11      0.0184082      0.0754133       0.117564        5.31298        1.79838        4.92008
         1.1718    4.37721e-11      0.0169755      0.0860134       0.122137        6.09641        3.33999        4.25958
        1.17476    4.35325e-11      0.0100108      0.0844935       0.115676        5.70792        1.90864         2.5271
        1.16964      4.374e-11      0.0114506      0.0709138       0.131906        5.44804        1.99144        2.12081
         1.1682    4.34908e-11     0.00387772      0.0720563       0.122867         5.7225        2.57507        2.05587
         1.1687    4.32643e-11     0.00647969      0.0695925       0.120957        5.37049        1.76841        1.65627
        1.16784    4.35931e-11     0.00575349      0.0685387       0.121127        5.10106        1.48582        1.69963
         1.1702     4.3559e-11     0.00840881      0.0692932       0.128344        4.53858         1.4325        1.77294
        1.18704    4.40911e-11    0.000914388      0.0687734       0.120636        4.78611        1.46254        1.21841
        1.19973    4.41626e-11     0.00341624       0.075341       0.122918        4.59085       0.953023        2.13277
        1.19918    4.40288e-11     0.00356259      0.0666693       0.118193        4.69765        1.36159        1.94627
        1.20049    4.38706e-11      0.0536536      0.0714382      0.0910858        4.01907        1.20278        5.17104
         1.1867    4.39983e-11      0.0468072      0.0766486      0.0874693        4.83053        1.36644        6.46424
        1.18879    4.39674e-11      0.0406122      0.0830523      0.0883071        5.14687        1.21911        5.80062
        1.18747    4.38317e-11      0.0476925      0.0868412      0.0837029        4.89705        1.02642        5.68458
        1.17492    4.38052e-11      0.0388772      0.0848458      0.0979762        5.07349        1.90156        6.37209
         1.2008    4.39362e-11      0.0234431      0.0796457       0.120627        4.64606        1.81892         6.5748
        1.18477     4.3617e-11      0.0142801      0.0814433       0.115322         4.7698        1.65699        6.41746
        1.18669    4.37034e-11      0.0172338      0.0748475       0.111942         4.3865        1.15636        6.93176
        1.20553    4.40922e-11      0.0064373      0.0756328       0.114569        4.46602        1.44452        7.10744
        1.20297    4.38758e-11     0.00337632      0.0756206       0.124046        4.38399        1.65557        7.92985
            1.2    4.38943e-11     0.00273458      0.0782881       0.120924        4.52643        1.69077        7.73181
        1.18755    4.42073e-11      0.0135739      0.0839141       0.110098        5.48388        1.93628         6.9533
        1.19228    4.43367e-11      0.0287666      0.0812557       0.117855        4.52337        1.95456        7.05298
        1.18335    4.34214e-11      0.0314434      0.0782499         0.1245        4.52052        2.29602        7.07752
        1.18955    4.40652e-11      0.0589222      0.0713555      0.0864476        5.45817        2.89501        9.51888
        1.19351    4.41711e-11      0.0631267      0.0734309      0.0847092        4.89882        2.34328        9.71705
        1.19388    4.39887e-11      0.0318864      0.0813077       0.115454        4.90477        1.83093        9.11225
        1.19211    4.39645e-11      0.0306114       0.078361       0.114674        4.94467        2.13568        9.45016
        1.17662    4.38413e-11      0.0446062      0.0784041       0.122184        5.72045        3.74404        8.41366
         1.1762    4.34343e-11      0.0429871      0.0779413       0.131891        6.31224        4.93676        5.79755
         1.1988    4.41822e-11      0.0263684        0.07606       0.132053        5.83845        2.92107        3.25101
        1.18601    4.39373e-11      0.0266473      0.0669514        0.13667        4.92293        2.23179        4.50322
         1.1877    4.40629e-11    3.83024e-05       0.072134       0.124251        5.42636        1.96233        4.63367
        1.18942    4.36113e-11      0.0133574      0.0749015       0.121902        5.10142        1.59428        3.53812
         1.1817    4.36703e-11      0.0062522      0.0773401       0.117783        4.85193        1.46404        4.07182
        1.17648     4.3928e-11      0.0040158      0.0750414       0.120294        4.60828        1.36314         4.2558
         1.1799     4.3436e-11     0.00175456      0.0794458       0.112727        4.76618        1.63909        4.75776
        1.19422    4.38866e-11      0.0323885       0.073846       0.111424        3.91526        1.00316        5.95184
        1.18282    4.36196e-11      0.0229733      0.0672591       0.114587        3.89799        1.28741        6.78455
